#Accession	Name	No_orfs	Coverage	Abundance	Description
COG0100	RpsK	1	0.984496	0.000799	Ribosomal protein S11
COG0101	TruA	1	0.917293	0.000745	Pseudouridylate synthase
COG0102	RplM	1	0.945945	0.000768	Ribosomal protein L13
COG0103	RpsI	1	0.961538	0.000781	Ribosomal protein S9
COG0104	PurA	1	0.981395	0.000797	Adenylosuccinate synthase
COG0105	Ndk	1	0.288888	0.000234	Nucleoside diphosphate kinase
COG0106	HisA	1	0.979253	0.000795	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	HisF	1	0.996093	0.000809	Imidazoleglycerol-phosphate synthase
COG0108	RibB	1	0.995073	0.000808	3,4-dihydroxy-2-butanone 4-phosphate synthase
COG0110	WbbJ	3	2.547368	0.002069	Acetyltransferase (isoleucine patch superfamily)
COG0111	SerA	1	0.87037	0.000707	Phosphoglycerate dehydrogenase and related dehydrogenases
COG0112	GlyA	1	0.985472	0.0008	Glycine/serine hydroxymethyltransferase
COG0113	HemB	1	0.975757	0.000792	Delta-aminolevulinic acid dehydratase
COG0115	IlvE	1	0.975352	0.000792	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0116	COG0116	1	0.971128	0.000789	Predicted N6-adenine-specific DNA methylase
COG0117	RibD	1	0.99315	0.000806	Pyrimidine deaminase
COG0118	HisH	1	0.985294	0.0008	Glutamine amidotransferase
COG0119	LeuA	2	1.552567	0.001261	Isopropylmalate/homocitrate/citramalate synthases
COG0122	AlkA	1	0.74035	0.000601	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0124	HisS	1	0.967365	0.000786	Histidyl-tRNA synthetase
COG0125	Tmk	1	0.95673	0.000777	Thymidylate kinase
COG0126	Pgk	1	0.994936	0.000808	3-phosphoglycerate kinase
COG0127	COG0127	1	0.979381	0.000795	Xanthosine triphosphate pyrophosphatase
COG0128	AroA	1	0.967289	0.000785	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	IlvD	1	0.980869	0.000797	Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	TruB	1	0.944649	0.000767	Pseudouridine synthase
COG0131	HisB	1	0.989743	0.000804	Imidazoleglycerol-phosphate dehydratase
COG0133	TrpB	1	0.989898	0.000804	Tryptophan synthase beta chain
COG0134	TrpC	1	0.960629	0.00078	Indole-3-glycerol phosphate synthase
COG0135	TrpF	1	1	0.000812	Phosphoribosylanthranilate isomerase
COG0136	Asd	1	0.994011	0.000807	Aspartate-semialdehyde dehydrogenase
COG0137	ArgG	1	0.967741	0.000786	Argininosuccinate synthase
COG0138	PurH	2	0.691262	0.000561	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)
COG0139	HisI	1	0.891891	0.000724	Phosphoribosyl-AMP cyclohydrolase
COG0140	HisI	1	0.97826	0.000794	Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	HisD	1	0.967058	0.000785	Histidinol dehydrogenase
COG0142	IspA	1	0.965838	0.000784	Geranylgeranyl pyrophosphate synthase
COG0143	MetG	1	0.982078	0.000797	Methionyl-tRNA synthetase
COG0144	Sun	2	1.84507	0.001499	tRNA and rRNA cytosine-C5-methylases
COG0147	TrpE	1	0.991341	0.000805	Anthranilate/para-aminobenzoate synthases component I
COG0148	Eno	2	1.148936	0.000933	Enolase
COG0149	TpiA	1	0.992031	0.000806	Triosephosphate isomerase
COG0150	PurM	1	0.976811	0.000793	Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	PurD	1	0.978971	0.000795	Phosphoribosylamine-glycine ligase
COG0152	PurC	1	0.951417	0.000773	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase
COG0153	GalK	1	0.91282	0.000741	Galactokinase
COG0154	GatA	1	0.981052	0.000797	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases
COG0157	NadC	1	0.992857	0.000806	Nicotinate-nucleotide pyrophosphorylase
COG0159	TrpA	1	1	0.000812	Tryptophan synthase alpha chain
COG0160	GabT	1	0.95302	0.000774	4-aminobutyrate aminotransferase and related aminotransferases
COG0162	TyrS	1	0.970074	0.000788	Tyrosyl-tRNA synthetase
COG0163	UbiX	1	0.528795	0.000429	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0164	RnhB	1	0.949748	0.000771	Ribonuclease HII
COG0165	ArgH	1	0.993464	0.000807	Argininosuccinate lyase
COG0166	Pgi	1	0.975336	0.000792	Glucose-6-phosphate isomerase
COG0167	PyrD	1	0.977419	0.000794	Dihydroorotate dehydrogenase
COG0168	TrkG	1	0.807615	0.000656	Trk-type K+ transport systems, membrane components
COG0169	AroE	1	0.96113	0.00078	Shikimate 5-dehydrogenase
COG0171	NadE	1	1	0.000812	NAD synthase
COG0172	SerS	1	0.993006	0.000806	Seryl-tRNA synthetase
COG0173	AspS	2	1.996581	0.001622	Aspartyl-tRNA synthetase
COG0175	CysH	1	0.938697	0.000762	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes
COG0177	Nth	1	0.985781	0.000801	Predicted EndoIII-related endonuclease
COG0178	UvrA	1	0.99786	0.00081	Excinuclease ATPase subunit
COG0180	TrpS	1	0.99363	0.000807	Tryptophanyl-tRNA synthetase
COG0181	HemC	1	0.93811	0.000762	Porphobilinogen deaminase
COG0184	RpsO	1	0.921348	0.000748	Ribosomal protein S15P/S13E
COG0185	RpsS	1	0.978494	0.000795	Ribosomal protein S19
COG0186	RpsQ	1	0.977011	0.000793	Ribosomal protein S17
COG0187	GyrB	2	1.995275	0.001621	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit
COG0188	GyrA	2	1.856965	0.001508	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit
COG0190	FolD	1	0.996466	0.000809	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
COG0191	Fba	1	1	0.000812	Fructose/tagatose bisphosphate aldolase
COG0192	MetK	1	0.987113	0.000802	S-adenosylmethionine synthetase
COG0193	Pth	1	0.973684	0.000791	Peptidyl-tRNA hydrolase
COG0194	Gmk	1	0.989528	0.000804	Guanylate kinase
COG0195	NusA	1	0.994736	0.000808	Transcription elongation factor
COG0196	RibF	1	0.99671	0.000809	FAD synthase
COG0197	RplP	1	0.972602	0.00079	Ribosomal protein L16/L10E
COG0198	RplX	1	0.990384	0.000804	Ribosomal protein L24
COG0199	RpsN	1	1	0.000812	Ribosomal protein S14
COG0200	RplO	1	0.993421	0.000807	Ribosomal protein L15
COG0201	SecY	1	0.979357	0.000795	Preprotein translocase subunit SecY
COG0202	RpoA	1	0.974763	0.000792	DNA-directed RNA polymerase, alpha subunit/40 kD subunit
COG0203	RplQ	1	0.956896	0.000777	Ribosomal protein L17
COG0204	PlsC	1	0.741176	0.000602	1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0205	PfkA	2	1.962536	0.001594	6-phosphofructokinase
COG0206	FtsZ	1	0.914201	0.000742	Cell division GTPase
COG0210	UvrD	2	1.966412	0.001597	Superfamily I DNA and RNA helicases
COG0211	RpmA	1	0.965517	0.000784	Ribosomal protein L27
COG0212	COG0212	1	0.947643	0.00077	5-formyltetrahydrofolate cyclo-ligase
COG0214	SNZ1	1	0.962837	0.000782	Pyridoxine biosynthesis enzyme
COG0215	CysS	1	0.997844	0.00081	Cysteinyl-tRNA synthetase
COG0216	PrfA	1	0.98898	0.000803	Protein chain release factor A
COG0217	COG0217	1	1	0.000812	Uncharacterized conserved protein
COG0218	COG0218	1	0.985	0.0008	Predicted GTPase
COG0219	CspR	1	0.980645	0.000796	Predicted rRNA methylase (SpoU class)
COG0220	COG0220	1	0.938325	0.000762	Predicted S-adenosylmethionine-dependent methyltransferase
COG0221	Ppa	2	1.491228	0.001211	Inorganic pyrophosphatase
COG0222	RplL	1	1	0.000812	Ribosomal protein L7/L12
COG0223	Fmt	1	0.996742	0.000809	Methionyl-tRNA formyltransferase
COG0226	PstS	2	0.81132	0.000659	ABC-type phosphate transport system, periplasmic component
COG0227	RpmB	1	0.948051	0.00077	Ribosomal protein L28
COG0228	RpsP	1	0.885057	0.000719	Ribosomal protein S16
COG0230	RpmH	1	0.977272	0.000794	Ribosomal protein L34
COG0231	Efp	1	0.984732	0.0008	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
COG0232	Dgt	1	0.980582	0.000796	dGTP triphosphohydrolase
COG0233	Frr	1	0.967914	0.000786	Ribosome recycling factor
COG0234	GroS	1	0.989583	0.000804	Co-chaperonin GroES (HSP10)
COG0236	AcpP	1	0.925	0.000751	Acyl carrier protein
COG0237	CoaE	1	0.955223	0.000776	Dephospho-CoA kinase
COG0238	RpsR	1	0.786666	0.000639	Ribosomal protein S18
COG0240	GpsA	1	0.99696	0.00081	Glycerol-3-phosphate dehydrogenase
COG0242	Def	2	1.744047	0.001417	N-formylmethionyl-tRNA deformylase
COG0244	RplJ	1	0.92	0.000747	Ribosomal protein L10
COG0245	IspF	1	0.974842	0.000792	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
COG0249	MutS	2	1.563463	0.00127	Mismatch repair ATPase (MutS family)
COG0250	NusG	1	0.994382	0.000807	Transcription antiterminator
COG0251	TdcF	1	0.96923	0.000787	Putative translation initiation inhibitor, yjgF family
COG0252	AnsB	1	0.943019	0.000766	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
COG0253	DapF	1	0.996323	0.000809	Diaminopimelate epimerase
COG0254	RpmE	1	0.92	0.000747	Ribosomal protein L31
COG0255	RpmC	1	0.927536	0.000753	Ribosomal protein L29
COG0256	RplR	1	0.992	0.000806	Ribosomal protein L18
COG0257	RpmJ	1	1	0.000812	Ribosomal protein L36
COG0258	Exo	1	0.958064	0.000778	5'-3' exonuclease (including N-terminal domain of PolI)
COG0261	RplU	1	1	0.000812	Ribosomal protein L21
COG0263	ProB	1	0.688346	0.000559	Glutamate 5-kinase
COG0264	Tsf	1	0.993243	0.000807	Translation elongation factor Ts
COG0265	DegQ	3	1.873198	0.001522	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
COG0267	RpmG	1	0.98	0.000796	Ribosomal protein L33
COG0268	RpsT	1	0.965909	0.000784	Ribosomal protein S20
COG0272	Lig	1	0.995502	0.000808	NAD-dependent DNA ligase (contains BRCT domain type II)
COG0275	COG0275	1	0.987261	0.000802	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis
COG0281	SfcA	1	0.861111	0.000699	Malic enzyme
COG0282	ackA	1	0.997474	0.00081	Acetate kinase
COG0283	Cmk	1	0.986486	0.000801	Cytidylate kinase
COG0284	PyrF	1	0.795833	0.000646	Orotidine-5'-phosphate decarboxylase
COG0285	FolC	1	0.97658	0.000793	Folylpolyglutamate synthase
COG0286	HsdM	2	1.063394	0.000864	Type I restriction-modification system methyltransferase subunit
COG0287	TyrA	1	0.939068	0.000763	Prephenate dehydrogenase
COG0289	DapB	1	0.988721	0.000803	Dihydrodipicolinate reductase
COG0290	InfC	1	0.965909	0.000784	Translation initiation factor 3 (IF-3)
COG0291	RpmI	1	1	0.000812	Ribosomal protein L35
COG0292	RplT	1	0.98305	0.000798	Ribosomal protein L20
COG0295	Cdd	1	0.746268	0.000606	Cytidine deaminase
COG0296	GlgB	2	1.988853	0.001616	1,4-alpha-glucan branching enzyme
COG0297	GlgA	1	0.989733	0.000804	Glycogen synthase
COG0299	PurN	1	0.985	0.0008	Folate-dependent phosphoribosylglycinamide formyltransferase PurN
COG0300	DltE	1	0.969811	0.000788	Short-chain dehydrogenases of various substrate specificities
COG0301	ThiI	1	0.986945	0.000801	Thiamine biosynthesis ATP pyrophosphatase
COG0304	FabB	1	0.997572	0.00081	3-oxoacyl-(acyl-carrier-protein) synthase
COG0305	DnaB	1	0.986206	0.000801	Replicative DNA helicase
COG0307	RibC	1	1	0.000812	Riboflavin synthase alpha chain
COG0311	PDX2	1	0.974226	0.000791	Predicted glutamine amidotransferase involved in pyridoxine biosynthesis
COG0313	COG0313	1	0.985454	0.0008	Predicted methyltransferases
COG0317	SpoT	1	0.96291	0.000782	Guanosine polyphosphate pyrophosphohydrolases/synthetases
COG0319	COG0319	1	0.93464	0.000759	Predicted metal-dependent hydrolase
COG0322	UvrC	1	0.994836	0.000808	Nuclease subunit of the excinuclease complex
COG0323	MutL	1	1	0.000812	DNA mismatch repair enzyme (predicted ATPase)
COG0324	MiaA	1	0.987012	0.000802	tRNA delta(2)-isopentenylpyrophosphate transferase
COG0325	COG0325	1	1	0.000812	Predicted enzyme with a TIM-barrel fold
COG0326	HtpG	1	0.983948	0.000799	Molecular chaperone, HSP90 family
COG0327	COG0327	1	0.972	0.000789	Uncharacterized conserved protein
COG0328	RnhA	1	0.941558	0.000765	Ribonuclease HI
COG0329	DapA	1	0.979933	0.000796	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
COG0330	HflC	1	0.872852	0.000709	Membrane protease subunits, stomatin/prohibitin homologs
COG0331	FabD	1	0.990322	0.000804	(acyl-carrier-protein) S-malonyltransferase
COG0332	FabH	1	0.993808	0.000807	3-oxoacyl-[acyl-carrier-protein].
COG0333	RpmF	1	1	0.000812	Ribosomal protein L32
COG0334	GdhA	1	0.997566	0.00081	Glutamate dehydrogenase/leucine dehydrogenase
COG0335	RplS	1	0.93913	0.000763	Ribosomal protein L19
COG0336	TrmD	1	0.9875	0.000802	tRNA-(guanine-N1)-methyltransferase
COG0337	AroB	1	0.972222	0.000789	3-dehydroquinate synthetase
COG0340	BirA	1	0.983193	0.000798	Biotin-(acetyl-CoA carboxylase) ligase
COG0341	SecF	1	0.885245	0.000719	Preprotein translocase subunit SecF
COG0342	SecD	1	1	0.000812	Preprotein translocase subunit SecD
COG0343	Tgt	1	0.951612	0.000773	Queuine/archaeosine tRNA-ribosyltransferase
COG0344	COG0344	1	0.98	0.000796	Predicted membrane protein
COG0345	ProC	1	0.99624	0.000809	Pyrroline-5-carboxylate reductase
COG0347	GlnK	2	1.982142	0.00161	Nitrogen regulatory protein PII
COG0350	Ada	1	0.97619	0.000793	Methylated DNA-protein cysteine methyltransferase
COG0351	ThiD	1	0.988593	0.000803	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0352	ThiE	2	1.905213	0.001548	Thiamine monophosphate synthase
COG0353	RecR	1	0.974747	0.000792	Recombinational DNA repair protein (RecF pathway)
COG0357	GidB	1	1	0.000812	Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division
COG0358	DnaG	1	0.97007	0.000788	DNA primase (bacterial type)
COG0359	RplI	1	0.993243	0.000807	Ribosomal protein L9
COG0360	RpsF	1	0.830357	0.000674	Ribosomal protein S6
COG0361	InfA	1	0.96	0.00078	Translation initiation factor 1 (IF-1)
COG0366	AmyA	10	8.267326	0.006717	Glycosidases
COG0367	AsnB	2	1.985239	0.001613	Asparagine synthase (glutamine-hydrolyzing)
COG0370	FeoB	3	1.937212	0.001574	Fe2+ transport system protein B
COG0372	GltA	2	1.997435	0.001623	Citrate synthase
COG0373	HemA	1	0.828502	0.000673	Glutamyl-tRNA reductase
COG0379	NadA	1	0.932098	0.000757	Quinolinate synthase
COG0388	COG0388	2	1.908759	0.00155	Predicted amidohydrolase
COG0389	DinP	1	0.974576	0.000791	Nucleotidyltransferase/DNA polymerase involved in DNA repair
COG0392	COG0392	2	1.928571	0.001567	Predicted integral membrane protein
COG0394	Wzb	1	0.985611	0.0008	Protein-tyrosine-phosphatase
COG0395	UgpE	2	1.889679	0.001535	ABC-type sugar transport system, permease component
COG0396	sufC	1	0.944223	0.000767	Cysteine desulfurase activator ATPase
COG0399	WecE	2	1.962566	0.001594	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis
COG0406	phoE	1	0.850961	0.000691	Broad specificity phosphatase PhoE and related phosphatases
COG0413	PanB	1	1	0.000812	Ketopantoate hydroxymethyltransferase
COG0414	PanC	1	0.992982	0.000806	Panthothenate synthetase
COG0416	PlsX	1	0.985207	0.0008	Fatty acid/phospholipid biosynthesis enzyme
COG0419	SbcC	1	0.997797	0.00081	ATPase involved in DNA repair
COG0420	SbcD	1	0.864102	0.000702	DNA repair exonuclease
COG0422	ThiC	1	0.983796	0.000799	Thiamine biosynthesis protein ThiC
COG0423	GRS1	1	0.985663	0.0008	Glycyl-tRNA synthetase (class II)
COG0425	SirA	1	0.961538	0.000781	Predicted redox protein, regulator of disulfide bond formation
COG0426	FpaA	2	1.971649	0.001602	Uncharacterized flavoproteins
COG0428	COG0428	1	0.973684	0.000791	Predicted divalent heavy-metal cations transporter
COG0432	COG0432	1	1	0.000812	Uncharacterized conserved protein
COG0436	COG0436	3	2.984732	0.002425	Aspartate/tyrosine/aromatic aminotransferase
COG0438	RfaG	3	2.95538	0.002401	Glycosyltransferase
COG0440	IlvH	1	0.97546	0.000792	Acetolactate synthase, small (regulatory) subunit
COG0441	ThrS	1	0.988115	0.000802	Threonyl-tRNA synthetase
COG0442	ProS	1	0.94	0.000763	Prolyl-tRNA synthetase
COG0443	DnaK	1	0.994818	0.000808	Molecular chaperone
COG0445	GidA	1	0.993558	0.000807	Flavin-dependent tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
COG0448	GlgC	2	1.898218	0.001542	ADP-glucose pyrophosphorylase
COG0449	GlmS	1	1	0.000812	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains
COG0450	AhpC	1	0.963917	0.000783	Peroxiredoxin
COG0451	WcaG	4	3.636942	0.002955	Nucleoside-diphosphate-sugar epimerases
COG0452	Dfp	1	0.994897	0.000808	Phosphopantothenoylcysteine synthetase/decarboxylase
COG0456	RimI	4	3.112994	0.002529	Acetyltransferases
COG0458	CarB	2	1.9325	0.00157	Carbamoylphosphate synthase large subunit (split gene in MJ)
COG0459	GroL	1	0.982824	0.000798	Chaperonin GroEL (HSP60 family)
COG0460	ThrA	1	0.969969	0.000788	Homoserine dehydrogenase
COG0461	PyrE	1	1	0.000812	Orotate phosphoribosyltransferase
COG0462	PrsA	1	0.977707	0.000794	Phosphoribosylpyrophosphate synthetase
COG0463	WcaA	7	5.862542	0.004763	Glycosyltransferases involved in cell wall biogenesis
COG0465	HflB	1	0.879194	0.000714	ATP-dependent Zn proteases
COG0466	Lon	1	0.988491	0.000803	ATP-dependent Lon protease, bacterial type
COG0468	RecA	1	0.985663	0.0008	RecA/RadA recombinase
COG0469	PykF	1	0.991614	0.000805	Pyruvate kinase
COG0472	Rfe	1	0.968652	0.000787	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase
COG0473	LeuB	1	0.982758	0.000798	Isocitrate/isopropylmalate dehydrogenase
COG0474	MgtA	3	1.921483	0.001561	Cation transport ATPase
COG0475	KefB	1	0.997481	0.00081	Kef-type K+ transport systems, membrane components
COG0476	ThiF	2	1.389763	0.001129	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2
COG0480	FusA	3	2.964131	0.002408	Translation elongation factors (GTPases)
COG0481	LepA	1	0.998341	0.000811	Membrane GTPase LepA
COG0482	TrmU	1	0.985955	0.000801	Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain
COG0484	DnaJ	2	1.132075	0.000919	DnaJ-class molecular chaperone with C-terminal Zn finger domain
COG0486	ThdF	1	0.997797	0.00081	Predicted GTPase
COG0488	Uup	2	1.984905	0.001612	ATPase components of ABC transporters with duplicated ATPase domains
COG0489	Mrp	4	2.777358	0.002256	ATPases involved in chromosome partitioning
COG0491	GloB	2	1.063492	0.000864	Zn-dependent hydrolases, including glyoxylases
COG0492	TrxB	2	1.967213	0.001598	Thioredoxin reductase
COG0493	GltD	2	1.967177	0.001598	NADPH-dependent glutamate synthase beta chain and related oxidoreductases
COG0494	MutT	2	1.708074	0.001387	NTP pyrophosphohydrolases including oxidative damage repair enzymes
COG0495	LeuS	1	0.997542	0.00081	Leucyl-tRNA synthetase
COG0497	RecN	1	0.991023	0.000805	ATPase involved in DNA repair
COG0498	ThrC	1	0.946472	0.000769	Threonine synthase
COG0500	SmtA	2	1.354085	0.0011	SAM-dependent methyltransferases
COG0503	Apt	1	0.810055	0.000658	Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins
COG0504	PyrG	1	0.990619	0.000804	CTP synthase (UTP-ammonia lyase)
COG0505	CarA	1	0.997282	0.00081	Carbamoylphosphate synthase small subunit
COG0507	RecD	2	1.090517	0.000886	ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member
COG0510	ycfN	1	0.286245	0.000232	Thiamine kinase and related kinases
COG0511	AccB	1	0.992857	0.000806	Biotin carboxyl carrier protein
COG0512	PabA	1	0.989528	0.000804	Anthranilate/para-aminobenzoate synthases component II
COG0514	RecQ	1	0.998305	0.000811	Superfamily II DNA helicase
COG0515	SPS1	5	3.104166	0.002522	Serine/threonine protein kinase
COG0516	GuaB	2	1.541176	0.001252	IMP dehydrogenase/GMP reductase
COG0517	COG0517	1	0.931623	0.000756	FOG: CBS domain
COG0518	GuaA	1	0.984848	0.0008	GMP synthase - Glutamine amidotransferase domain
COG0519	GuaA	1	1	0.000812	GMP synthase, PP-ATPase domain/subunit
COG0520	csdA	1	0.938271	0.000762	Selenocysteine lyase/Cysteine desulfurase
COG0522	RpsD	1	1	0.000812	Ribosomal protein S4 and related proteins
COG0525	ValS	1	0.997719	0.00081	Valyl-tRNA synthetase
COG0527	LysC	2	1.302013	0.001057	Aspartokinases
COG0528	PyrH	1	0.991596	0.000805	Uridylate kinase
COG0532	InfB	1	0.986247	0.000801	Translation initiation factor 2 (IF-2; GTPase)
COG0533	QRI7	2	1.833333	0.001489	Metal-dependent proteases with possible chaperone activity
COG0534	NorM	7	6.731868	0.00547	Na+-driven multidrug efflux pump
COG0536	Obg	1	0.975609	0.000792	Predicted GTPase
